text,category
Login failure threshold exceeded for user 2511,SECURITY_ALERT
CPU exceeded threshold: 44% on instance tmmsKRDT,RESOURCE_USAGE
High memory consumption detected: 6502MB of 16384MB used,RESOURCE_USAGE
Workflow 49bba564 failed at step 6,WORKFLOW_ERROR
Undefined escalation path for ticket 4094 in queue 12,WORKFLOW_ERROR
Process dadc7e13 timed out after 60s,WORKFLOW_ERROR
Intrusion detected on host srv-25.holmes.com from IP 140.80.252.215,SECURITY_ALERT
Task 4510 could not be assigned to team 159,WORKFLOW_ERROR
swap=5583MB used on server 90,RESOURCE_USAGE
Escalation failed for ticket 9810 - no handler defined,WORKFLOW_ERROR
Node node-32 joined cluster cluster-4,SYSTEM_EVENT
swap=7868MB used on server 52,RESOURCE_USAGE
Service worker stopped on host email-69.castro.com,SYSTEM_EVENT
swap=4595MB used on server 90,RESOURCE_USAGE
Invalid session token detected from IP 159.36.243.112,SECURITY_ALERT
High memory consumption detected: 31147MB of 16384MB used,RESOURCE_USAGE
Multiple login failures detected for user 7559,SECURITY_ALERT
cpu_usage=34% memory_usage=50% on host email-44.king-morris.com,RESOURCE_USAGE
Brute force attack detected for account 1290,SECURITY_ALERT
Escalation rule execution failed for ticket 2385 - undefined escalation level,WORKFLOW_ERROR
System laptop-87.ward.com swap usage critical: 5875MB,RESOURCE_USAGE
Node node-13 reporting cpu=20% utilization,RESOURCE_USAGE
Escalation rule execution failed for ticket 1501 - undefined escalation level,WORKFLOW_ERROR
Credential mismatch for user 5845 from 112.51.27.208,SECURITY_ALERT
Escalation failed for ticket 5415 - no handler defined,WORKFLOW_ERROR
Invalid priority level assigned to ticket 2511,WORKFLOW_ERROR
Scheduled job 1475 started at 2026-01-26T08:43:22,SYSTEM_EVENT
Job 8954 aborted due to missing configuration,WORKFLOW_ERROR
Pipeline 23199a4b blocked at stage 9,WORKFLOW_ERROR
Node node-35 joined cluster cluster-3,SYSTEM_EVENT
phys_ram=8192MB used_ram=4009MB phys_disk=1846GB on node node-32,RESOURCE_USAGE
Backup started for database analytics_db at 2026-01-22T09:02:11,SYSTEM_EVENT
[instance: qZwUmMBc] cpu=24% mem=92% disk=81%,RESOURCE_USAGE
Intrusion detected on host laptop-08.higgins.info from IP 113.162.208.215,SECURITY_ALERT
Credential mismatch for user 4097 from 143.166.179.132,SECURITY_ALERT
High memory consumption detected: 33594MB of 65536MB used,RESOURCE_USAGE
Workflow validation error in process be46aa49,WORKFLOW_ERROR
Service api-gateway started successfully,SYSTEM_EVENT
Failed authentication attempt #6 for user 8550,SECURITY_ALERT
Service auth-service started successfully,SYSTEM_EVENT
cpu_usage=94% memory_usage=17% on host laptop-81.schultz.com,RESOURCE_USAGE
Service redis stopped on host db-90.strong-reed.net,SYSTEM_EVENT
"Resource alert: memory exceeded on web-46.bennett-davila.biz, used=44842MB",RESOURCE_USAGE
cpu_usage=26% memory_usage=46% on host db-12.gould-wolfe.info,RESOURCE_USAGE
Authentication error on server 90,SECURITY_ALERT
"Resource alert: memory exceeded on srv-09.howard-allison.net, used=11580MB",RESOURCE_USAGE
Node node-47 left cluster cluster-2,SYSTEM_EVENT
Invalid credentials provided for user 3554 on db-09.velez-sullivan.info,SECURITY_ALERT
Node node-5 left cluster cluster-4,SYSTEM_EVENT
Multiple login failures detected for user 4860,SECURITY_ALERT
[instance: edjthKGQ] cpu=31% mem=95% disk=71%,RESOURCE_USAGE
Intrusion detected on host srv-70.kelley.com from IP 214.230.11.23,SECURITY_ALERT
Service scheduler restarted on email-72.harris-burnett.com after config update,SYSTEM_EVENT
Node node-27 joined cluster cluster-2,SYSTEM_EVENT
Node node-6 left cluster cluster-3,SYSTEM_EVENT
disk_usage=61% on volume vol-bPCz,RESOURCE_USAGE
Memory usage is critical at 54% on laptop-30.jennings.com,RESOURCE_USAGE
Service redis restarted on lt-76.anderson.com after config update,SYSTEM_EVENT
Escalation rule undefined for priority P2 in ticket 6735,WORKFLOW_ERROR
Failed authentication attempt #9 for user 1508,SECURITY_ALERT
Undefined escalation path for ticket 9392 in queue 17,WORKFLOW_ERROR
System laptop-58.arnold.org swap usage critical: 4103MB,RESOURCE_USAGE
Brute force attack detected for account 7626,SECURITY_ALERT
Brute force attack detected for account 9035,SECURITY_ALERT
Node node-11 left cluster cluster-3,SYSTEM_EVENT
Invalid credentials provided for user 7742 on lt-63.smith.com,SECURITY_ALERT
High memory consumption detected: 7474MB of 8192MB used,RESOURCE_USAGE
Task assignment for TeamID 332 could not complete due to invalid priority level,WORKFLOW_ERROR
High memory consumption detected: 17595MB of 16384MB used,RESOURCE_USAGE
Backup completed for database users_db,SYSTEM_EVENT
Node node-4 joined cluster cluster-5,SYSTEM_EVENT
Credential mismatch for user 8433 from 218.172.99.126,SECURITY_ALERT
"Resource alert: memory exceeded on desktop-64.barnes-neal.com, used=38066MB",RESOURCE_USAGE
Service nginx restarted on db-10.velez.com after config update,SYSTEM_EVENT
Health check passed for service worker on web-23.blackwell-garza.com,SYSTEM_EVENT
Health check ok: auth-service responding on port 5432,SYSTEM_EVENT
Pipeline 915aa857 blocked at stage 3,WORKFLOW_ERROR
"Resource alert: memory exceeded on srv-02.mullen.com, used=22271MB",RESOURCE_USAGE
Login failure threshold exceeded for user 2797,SECURITY_ALERT
System lt-67.webb.com swap usage critical: 5722MB,RESOURCE_USAGE
Brute force attack detected for account 1640,SECURITY_ALERT
Task assignment for TeamID 233 could not complete due to invalid priority level,WORKFLOW_ERROR
Failed authentication attempt #20 for user 9144,SECURITY_ALERT
Workflow validation error in process e47b3f8e,WORKFLOW_ERROR
Task assignment error: team 257 queue full,WORKFLOW_ERROR
Deployment db988cc0 finished on lt-15.cline.biz,SYSTEM_EVENT
Escalation rule undefined for priority HIGH in ticket 5252,WORKFLOW_ERROR
Job 7457 aborted due to missing configuration,WORKFLOW_ERROR
Workflow validation error in process 74354383,WORKFLOW_ERROR
Undefined escalation path for ticket 8067 in queue 20,WORKFLOW_ERROR
Multiple unauthorized access attempts on server 85,SECURITY_ALERT
Authentication error on server 85,SECURITY_ALERT
Service auth-service started successfully,SYSTEM_EVENT
phys_ram=16384MB used_ram=35128MB phys_disk=658GB,RESOURCE_USAGE
Brute force attack detected for account 9647,SECURITY_ALERT
Job 4558 error: invalid configuration in stage 9,WORKFLOW_ERROR
Process 427e8182 timed out after 60s,WORKFLOW_ERROR
System srv-13.shelton-lucero.com swap usage critical: 6803MB,RESOURCE_USAGE
"Disk usage at 70% on email-12.delgado-farley.info, volume vol-PBTY",RESOURCE_USAGE
Scheduled task 6378 completed successfully,SYSTEM_EVENT
Task 5138 could not be assigned to team 908,WORKFLOW_ERROR
"Disk usage at 71% on web-47.leon.com, volume vol-ksXo",RESOURCE_USAGE
Instance JQdVCpBw created in region us-east-1,SYSTEM_EVENT
Unauthorized access attempt from IP 72.144.134.234,SECURITY_ALERT
Escalation rule execution failed for ticket 5270 - undefined escalation level,WORKFLOW_ERROR
Scheduled task 1233 completed successfully,SYSTEM_EVENT
Scheduled task 561 completed successfully,SYSTEM_EVENT
System laptop-07.mejia.net swap usage critical: 7364MB,RESOURCE_USAGE
Service scheduler stopped on host email-50.martin.com,SYSTEM_EVENT
Escalation rule execution failed for ticket 4879 - undefined escalation level,WORKFLOW_ERROR
Failed authentication attempt #11 for user 7388,SECURITY_ALERT
Security alert: invalid token for session cf2a5746,SECURITY_ALERT
Memory usage is critical at 24% on db-89.king.com,RESOURCE_USAGE
"Disk usage at 85% on db-40.fuller-harris.com, volume vol-CxzY",RESOURCE_USAGE
Workflow 38f6ea64 failed at step 4,WORKFLOW_ERROR
Storage volume vol-mSAQ at 96% capacity,RESOURCE_USAGE
Node node-16 joined cluster cluster-1,SYSTEM_EVENT
Pipeline 567d22aa blocked at stage 8,WORKFLOW_ERROR
Invalid priority level assigned to ticket 3487,WORKFLOW_ERROR
Potential security breach detected on host email-74.miranda.biz,SECURITY_ALERT
High memory consumption detected: 46305MB of 65536MB used,RESOURCE_USAGE
Invalid session token detected from IP 181.140.39.171,SECURITY_ALERT
Potential security breach detected on host lt-27.bowen-fuller.com,SECURITY_ALERT
Backup completed for database analytics_db,SYSTEM_EVENT
Scheduled job 5883 started at 2026-02-02T02:44:49,SYSTEM_EVENT
disk_usage=93% on volume vol-tnBw,RESOURCE_USAGE
Storage volume vol-pEVx at 73% capacity,RESOURCE_USAGE
Failed authentication attempt #19 for user 4679,SECURITY_ALERT
Authentication error on server 79,SECURITY_ALERT
Memory usage is critical at 74% on web-27.anderson.org,RESOURCE_USAGE
Deployment d7f22960 finished on laptop-30.mayo.com,SYSTEM_EVENT
"Resource alert: memory exceeded on web-10.campbell.com, used=7545MB",RESOURCE_USAGE
Backup started for database users_db at 2026-05-15T23:36:49,SYSTEM_EVENT
Pipeline 74a85d90 blocked at stage 5,WORKFLOW_ERROR
Brute force attack detected for account 9363,SECURITY_ALERT
Task assignment for TeamID 336 could not complete due to invalid priority level,WORKFLOW_ERROR
Invalid priority level assigned to ticket 3240,WORKFLOW_ERROR
Backup started for database orders_db at 2026-03-24T12:06:15,SYSTEM_EVENT
"Disk usage at 84% on laptop-25.carlson-gonzalez.com, volume vol-vgmn",RESOURCE_USAGE
"Disk usage at 68% on laptop-06.harvey.org, volume vol-xyKR",RESOURCE_USAGE
High memory consumption detected: 11762MB of 65536MB used,RESOURCE_USAGE
Failed authentication attempt #6 for user 9474,SECURITY_ALERT
Escalation failed for ticket 4753 - no handler defined,WORKFLOW_ERROR
Credential mismatch for user 8226 from 33.238.244.0,SECURITY_ALERT
Scheduled task 1797 completed successfully,SYSTEM_EVENT
Node node-40 joined cluster cluster-1,SYSTEM_EVENT
Node node-8 joined cluster cluster-1,SYSTEM_EVENT
Instance tbpjZYrJ terminated in region us-east-1,SYSTEM_EVENT
Task assignment error: team 835 queue full,WORKFLOW_ERROR
Backup started for database users_db at 2026-05-18T08:46:53,SYSTEM_EVENT
Task assignment error: team 783 queue full,WORKFLOW_ERROR
Invalid priority level assigned to ticket 2939,WORKFLOW_ERROR
Potential security breach detected on host lt-73.bush.net,SECURITY_ALERT
Deployment 122b4cf3 finished on srv-12.jenkins.com,SYSTEM_EVENT
CPU exceeded threshold: 58% on instance LnbmlOcD,RESOURCE_USAGE
"Disk usage at 60% on desktop-19.molina.com, volume vol-CiJp",RESOURCE_USAGE
Instance BpKYhDXe created in region us-west-2,SYSTEM_EVENT
disk_usage=97% on volume vol-xFtH,RESOURCE_USAGE
Node node-8 reporting cpu=52% utilization,RESOURCE_USAGE
Brute force attack detected for account 8265,SECURITY_ALERT
Escalation rule undefined for priority LOW in ticket 1554,WORKFLOW_ERROR
Invalid session token detected from IP 83.70.249.46,SECURITY_ALERT
Multiple login failures detected for user 2824,SECURITY_ALERT
Multiple login failures detected for user 5381,SECURITY_ALERT
Scheduled task 3028 completed successfully,SYSTEM_EVENT
Backup started for database analytics_db at 2026-06-09T02:29:46,SYSTEM_EVENT
Process 811f5131 timed out after 60s,WORKFLOW_ERROR
Job 2308 error: invalid configuration in stage 1,WORKFLOW_ERROR
Backup completed for database users_db,SYSTEM_EVENT
Node node-47 left cluster cluster-5,SYSTEM_EVENT
"Disk usage at 83% on srv-70.cox.com, volume vol-maAm",RESOURCE_USAGE
Escalation rule execution failed for ticket 2748 - undefined escalation level,WORKFLOW_ERROR
Security alert: invalid token for session 6baf1e8f,SECURITY_ALERT
Backup started for database orders_db at 2026-02-25T22:50:31,SYSTEM_EVENT
swap=6640MB used on server 61,RESOURCE_USAGE
Invalid session token detected from IP 104.234.212.224,SECURITY_ALERT
Unauthorized access attempt from IP 220.242.121.97,SECURITY_ALERT
Instance ghdvaAPU created in region us-east-1,SYSTEM_EVENT
Login failure threshold exceeded for user 2612,SECURITY_ALERT
Pipeline 5ef980b7 blocked at stage 3,WORKFLOW_ERROR
Backup started for database orders_db at 2026-05-29T16:33:21,SYSTEM_EVENT
Suspicious activity observed from IP 173.54.215.182,SECURITY_ALERT
"[instance: KJaBVnSR] Total memory: 16384 MB, used: 34302 MB",RESOURCE_USAGE
Deadlock detected in process 318f8cd8,WORKFLOW_ERROR
Invalid session token detected from IP 142.11.103.131,SECURITY_ALERT
Undefined escalation path for ticket 7468 in queue 15,WORKFLOW_ERROR
"Resource alert: memory exceeded on db-63.mason.com, used=7405MB",RESOURCE_USAGE
Deadlock detected in process b5c0c6b2,WORKFLOW_ERROR
Storage volume vol-REYl at 79% capacity,RESOURCE_USAGE
Suspicious activity observed from IP 33.231.162.194,SECURITY_ALERT
Deployment 161752b7 completed successfully,SYSTEM_EVENT
Potential security breach detected on host srv-74.turner-sharp.com,SECURITY_ALERT
Multiple login failures detected for user 6098,SECURITY_ALERT
Security alert: invalid token for session f8cf814a,SECURITY_ALERT
Escalation failed for ticket 5691 - no handler defined,WORKFLOW_ERROR
Node node-43 joined cluster cluster-5,SYSTEM_EVENT
Multiple login failures detected for user 8585,SECURITY_ALERT
Service redis started successfully,SYSTEM_EVENT
Escalation failed for ticket 7841 - no handler defined,WORKFLOW_ERROR
Undefined escalation path for ticket 7543 in queue 14,WORKFLOW_ERROR
Memory usage is critical at 34% on web-74.burch-trevino.org,RESOURCE_USAGE
Instance PgnGjWkk created in region eu-west-1,SYSTEM_EVENT
Invalid credentials provided for user 5009 on lt-52.douglas.com,SECURITY_ALERT
phys_ram=32768MB used_ram=3663MB phys_disk=473GB on node node-42,RESOURCE_USAGE
Instance nYznnLvL created in region us-west-2,SYSTEM_EVENT
Pipeline f5683579 blocked at stage 7,WORKFLOW_ERROR
Node node-32 left cluster cluster-1,SYSTEM_EVENT
Health check passed for service worker on web-90.carter.biz,SYSTEM_EVENT
Credential mismatch for user 5588 from 75.253.115.106,SECURITY_ALERT
Service scheduler started successfully,SYSTEM_EVENT
Backup completed for database orders_db,SYSTEM_EVENT
"Disk usage at 82% on lt-22.reed.org, volume vol-OIYW",RESOURCE_USAGE
Escalation rule undefined for priority P1 in ticket 8424,WORKFLOW_ERROR
Storage volume vol-dwYr at 68% capacity,RESOURCE_USAGE
Job 7301 aborted due to missing configuration,WORKFLOW_ERROR
Invalid credentials provided for user 1311 on email-40.martin-thompson.biz,SECURITY_ALERT
Multiple unauthorized access attempts on server 53,SECURITY_ALERT
Task 3570 could not be assigned to team 924,WORKFLOW_ERROR
Deployment 3e37f450 finished on laptop-48.holt-watts.biz,SYSTEM_EVENT
Deployment 3baea776 completed successfully,SYSTEM_EVENT
Intrusion detected on host web-74.hansen.com from IP 151.208.193.57,SECURITY_ALERT
Failed authentication attempt #11 for user 7656,SECURITY_ALERT
"[instance: kpBiIdhM] Total memory: 32768 MB, used: 44720 MB",RESOURCE_USAGE
Job 2783 error: invalid configuration in stage 7,WORKFLOW_ERROR
"Disk usage at 73% on db-22.campos-salinas.com, volume vol-VaJI",RESOURCE_USAGE
Brute force attack detected for account 2776,SECURITY_ALERT
Node node-10 left cluster cluster-5,SYSTEM_EVENT
Undefined escalation path for ticket 7278 in queue 14,WORKFLOW_ERROR
Potential security breach detected on host laptop-25.levy.org,SECURITY_ALERT
phys_ram=32768MB used_ram=40265MB phys_disk=1928GB on node node-2,RESOURCE_USAGE
"Disk usage at 85% on lt-34.hardy.com, volume vol-HDJK",RESOURCE_USAGE
Node node-37 left cluster cluster-3,SYSTEM_EVENT
Brute force attack detected for account 9631,SECURITY_ALERT
Escalation rule execution failed for ticket 7818 - undefined escalation level,WORKFLOW_ERROR
Process 320f5e32 timed out after 30s,WORKFLOW_ERROR
Scheduled job 1822 started at 2026-05-03T05:28:51,SYSTEM_EVENT
Deployment 738eb584 finished on lt-27.taylor.com,SYSTEM_EVENT
Account 9278 locked after 16 failed attempts,SECURITY_ALERT
Security alert: invalid token for session 247474b3,SECURITY_ALERT
Workflow validation error in process 76bb32c2,WORKFLOW_ERROR
cpu_usage=30% memory_usage=61% on host db-70.lyons.info,RESOURCE_USAGE
Invalid priority level assigned to ticket 6621,WORKFLOW_ERROR
Health check passed for service scheduler on db-98.ellis.com,SYSTEM_EVENT
Deployment 82a15681 completed successfully,SYSTEM_EVENT
CPU exceeded threshold: 6% on instance jkqcuUxZ,RESOURCE_USAGE
Escalation rule execution failed for ticket 7265 - undefined escalation level,WORKFLOW_ERROR
Node node-30 left cluster cluster-4,SYSTEM_EVENT
Invalid priority level assigned to ticket 7841,WORKFLOW_ERROR
Intrusion detected on host lt-89.kelley.net from IP 202.114.252.72,SECURITY_ALERT
Invalid credentials provided for user 3427 on web-86.zimmerman-anderson.com,SECURITY_ALERT
Deployment 585e76ab completed successfully,SYSTEM_EVENT
Node node-7 left cluster cluster-2,SYSTEM_EVENT
Suspicious activity observed from IP 11.3.111.107,SECURITY_ALERT
Task 3333 could not be assigned to team 672,WORKFLOW_ERROR
Pipeline 107a72d9 blocked at stage 7,WORKFLOW_ERROR
cpu_usage=74% memory_usage=39% on host db-65.diaz-flores.com,RESOURCE_USAGE
Multiple unauthorized access attempts on server 66,SECURITY_ALERT
CPU exceeded threshold: 30% on instance nOUvSERO,RESOURCE_USAGE
Security alert: invalid token for session 250b1c5a,SECURITY_ALERT
Account 3338 locked after 16 failed attempts,SECURITY_ALERT
Unauthorized access attempt from IP 209.202.0.240,SECURITY_ALERT
Authentication error on server 21,SECURITY_ALERT
swap=6203MB used on server 67,RESOURCE_USAGE
Account 6960 locked after 4 failed attempts,SECURITY_ALERT
"Disk usage at 81% on desktop-41.cook-vargas.info, volume vol-QQHt",RESOURCE_USAGE
phys_ram=32768MB used_ram=8727MB phys_disk=650GB,RESOURCE_USAGE
Health check passed for service nginx on web-05.bird.com,SYSTEM_EVENT
Workflow 4217a0b9 failed at step 9,WORKFLOW_ERROR
disk_usage=89% on volume vol-AZRe,RESOURCE_USAGE
Instance reXcQeDK created in region eu-west-1,SYSTEM_EVENT
Multiple login failures detected for user 8349,SECURITY_ALERT
Account 8069 locked after 7 failed attempts,SECURITY_ALERT
Invalid credentials provided for user 2902 on desktop-81.murray-johnson.com,SECURITY_ALERT
Job 4509 error: invalid configuration in stage 7,WORKFLOW_ERROR
CPU exceeded threshold: 67% on instance mfWhjQhD,RESOURCE_USAGE
Escalation failed for ticket 5900 - no handler defined,WORKFLOW_ERROR
Pipeline 3b44fb61 blocked at stage 2,WORKFLOW_ERROR
Potential security breach detected on host srv-42.ramirez-moon.com,SECURITY_ALERT
Invalid credentials provided for user 4215 on db-26.dixon-dudley.com,SECURITY_ALERT
[instance: ynVYuiRU] cpu=38% mem=99% disk=95%,RESOURCE_USAGE
Undefined escalation path for ticket 7113 in queue 12,WORKFLOW_ERROR
Workflow validation error in process 10d34908,WORKFLOW_ERROR
phys_ram=32768MB used_ram=56398MB phys_disk=1390GB,RESOURCE_USAGE
Login failure threshold exceeded for user 2013,SECURITY_ALERT
Unauthorized access attempt from IP 163.238.82.54,SECURITY_ALERT
High memory consumption detected: 24646MB of 16384MB used,RESOURCE_USAGE
Brute force attack detected for account 6581,SECURITY_ALERT
Storage volume vol-GxCT at 93% capacity,RESOURCE_USAGE
Health check ok: postgres responding on port 80,SYSTEM_EVENT
Storage volume vol-IkmA at 66% capacity,RESOURCE_USAGE
"Resource alert: memory exceeded on email-07.hale.com, used=11009MB",RESOURCE_USAGE
Escalation rule undefined for priority LOW in ticket 8537,WORKFLOW_ERROR
Account 6922 locked after 8 failed attempts,SECURITY_ALERT
Multiple unauthorized access attempts on server 49,SECURITY_ALERT
CPU exceeded threshold: 8% on instance VyNVWctE,RESOURCE_USAGE
phys_ram=65536MB used_ram=7847MB phys_disk=1232GB,RESOURCE_USAGE
Scheduled job 6822 started at 2026-06-03T00:14:15,SYSTEM_EVENT
Node node-20 left cluster cluster-1,SYSTEM_EVENT
"Resource alert: memory exceeded on desktop-45.green.com, used=13376MB",RESOURCE_USAGE
Intrusion detected on host lt-41.smith.net from IP 223.54.69.100,SECURITY_ALERT
Invalid priority level assigned to ticket 1023,WORKFLOW_ERROR
Security alert: invalid token for session 6bfdc189,SECURITY_ALERT
Pipeline 0124051a blocked at stage 7,WORKFLOW_ERROR
Job 5751 error: invalid configuration in stage 10,WORKFLOW_ERROR
Storage volume vol-XiAn at 83% capacity,RESOURCE_USAGE
Authentication error on server 42,SECURITY_ALERT
System srv-52.kirby.com swap usage critical: 6881MB,RESOURCE_USAGE
Job 4855 error: invalid configuration in stage 6,WORKFLOW_ERROR
disk_usage=78% on volume vol-qiZV,RESOURCE_USAGE
Login failure threshold exceeded for user 1852,SECURITY_ALERT
Escalation rule execution failed for ticket 2974 - undefined escalation level,WORKFLOW_ERROR
Instance JEqXhGiA created in region us-east-1,SYSTEM_EVENT
Suspicious activity observed from IP 88.88.41.173,SECURITY_ALERT
Process c6071229 timed out after 60s,WORKFLOW_ERROR
Node node-21 left cluster cluster-5,SYSTEM_EVENT
Deadlock detected in process 4dedfdcb,WORKFLOW_ERROR
Deployment 4ce6f512 completed successfully,SYSTEM_EVENT
Failed authentication attempt #20 for user 6148,SECURITY_ALERT
System db-01.contreras.com swap usage critical: 6457MB,RESOURCE_USAGE
[instance: VcheWIeU] cpu=23% mem=67% disk=91%,RESOURCE_USAGE
Instance OtGufzBl created in region us-east-1,SYSTEM_EVENT
Deployment 401e7016 completed successfully,SYSTEM_EVENT
Potential security breach detected on host lt-71.ramirez.com,SECURITY_ALERT
Account 3075 locked after 19 failed attempts,SECURITY_ALERT
Service redis stopped on host desktop-43.salazar-mcclain.info,SYSTEM_EVENT
Instance JZtmSknR terminated in region us-west-2,SYSTEM_EVENT
Potential security breach detected on host desktop-84.lopez-jones.com,SECURITY_ALERT
cpu_usage=91% memory_usage=30% on host laptop-01.deleon.com,RESOURCE_USAGE
Instance sHohuYlT created in region us-west-2,SYSTEM_EVENT
Deadlock detected in process 1c0e3978,WORKFLOW_ERROR
phys_ram=16384MB used_ram=20874MB phys_disk=671GB,RESOURCE_USAGE
Backup completed for database analytics_db,SYSTEM_EVENT
Multiple login failures detected for user 8059,SECURITY_ALERT
Memory usage is critical at 78% on laptop-68.jones.com,RESOURCE_USAGE
